Date,Channel,Data Source,Campaign,Spend,CPM,CTR,CPC,Video Views,Impressions,Conversions,Conversion Rate
2023-09-23,Organic,Amazon Ad,Mandatory,51858.0,113.95,2.65,4.3,17891,455110,4966,41.18
2023-07-14,Organic,Facebook,Fundamental,29359.56,134.46,2.75,4.89,63779,218344,4824,80.35
2024-08-15,Paid Social,Amazon Ad,Diverse,4140.0,18.53,3.86,0.48,133786,223468,5222,60.54
2024-12-14,Paid Search,Stack,Entreprise,97843.47,119.59,2.64,4.53,507550,818180,373,1.73
2023-03-28,Paid Social,Amazon Ad,Entreprise,106707.63,129.07,3.37,3.83,223135,826750,5974,21.44
2023-07-18,Paid Social,Google Search Ads,Seamless,1545.6,10.55,1.53,0.69,13916,146439,1112,49.64
2023-01-31,Paid Social,Bing,Mandatory,110799.16,180.04,4.37,4.12,65274,615417,12281,45.67
2023-04-27,Programmatic,Stack,Diverse,1605.62,7.78,1.81,0.43,112706,206321,1886,50.51
2023-10-13,Paid Social,Google,Diverse,13889.52,68.56,3.59,1.91,111588,202579,4863,66.87
2023-07-25,Paid Social,Google Search Ads,Fundamental,5586.56,76.31,1.88,4.06,7775,73208,762,55.38
2024-08-20,Paid Social,LinkedIn,Optional,61041.4,175.1,4.24,4.13,73593,348601,8987,60.81
2023-08-04,Paid Social,LinkedIn,Seamless,8051.2,38.47,1.3,2.96,141335,209264,1302,47.87
2024-01-26,Paid Search,Google Search Ads,Optional,38117.68,208.36,4.27,4.88,160682,182944,6858,87.8
2023-06-22,Organic,Google,Entreprise,4970.46,5.68,0.86,0.66,828723,875787,5394,71.62
2024-02-18,Organic,Stack,Seamless,9405.72,13.45,1.66,0.81,341725,699554,4452,38.34
2023-03-27,Paid Search,Google Search Ads,Diverse,39418.83,141.63,4.44,3.19,67515,278318,1797,14.54
2023-07-19,Programmatic,Amazon Ad,Fundamental,90648.48,113.88,3.65,3.12,748530,796024,15444,53.16
2023-05-19,Paid Search,LinkedIn,Seamless,21468.95,75.02,2.46,3.05,155277,286158,1144,16.25
2024-06-10,Organic,LinkedIn,Fundamental,38437.74,219.66,4.52,4.86,3131,174990,4994,63.14
2023-11-16,Organic,LinkedIn,Seamless,2973.0,4.05,0.81,0.5,696306,734092,860,14.46
2024-04-17,Paid Social,Google,Fundamental,50135.68,70.43,2.84,2.48,259719,711847,17122,84.7
2023-08-11,Organic,LinkedIn,Optional,5250.0,69.89,2.33,3.0,4555,75114,128,7.31
2024-11-12,Paid Search,Stack,Seamless,56325.36,71.53,3.93,1.82,720334,787481,25073,81.02
2024-09-02,Paid Social,Stack,Fundamental,50775.66,107.75,3.07,3.51,415724,471233,12966,89.63
2023-09-26,Organic,Facebook,Fundamental,43.01,32.12,0.88,3.91,105,1339,3,27.27
2024-09-27,Paid Search,Facebook,Diverse,90429.48,95.97,2.58,3.72,345018,942233,4570,18.8
2024-05-29,Paid Social,Google Search Ads,Seamless,11493.68,39.95,1.35,2.96,181082,287688,971,25.01
2023-02-18,Organic,Bing,Fundamental,22697.31,35.72,2.57,1.39,192262,635392,11807,72.31
2023-03-18,Paid Search,Google Search Ads,Seamless,37745.5,123.16,3.79,3.25,127652,306464,4446,38.28
2023-01-20,Programmatic,Stack,Optional,41694.25,47.77,1.47,3.25,606286,872784,3981,31.03
2024-08-04,Paid Search,Google Search Ads,Mandatory,35947.36,68.65,3.45,1.99,451644,523616,2716,15.04
2023-11-18,Paid Search,Amazon Ad,Diverse,75909.4,78.88,1.91,4.13,111841,962309,9167,49.87
2023-07-02,Paid Social,Google,Fundamental,17199.75,76.37,2.68,2.85,78231,225220,4546,75.33
2024-06-16,Programmatic,Stack,Seamless,23742.4,73.57,4.18,1.76,233789,322733,3205,23.76
2024-09-02,Paid Search,Stack,Optional,52744.23,134.24,4.52,2.97,40681,392908,16449,92.62
2023-02-06,Organic,LinkedIn,Seamless,59622.21,87.77,4.24,2.07,390574,679336,16687,57.93
2023-05-29,Programmatic,LinkedIn,Seamless,5634.72,9.12,1.06,0.86,555947,618138,3706,56.56
2024-04-13,Programmatic,Stack,Optional,24845.2,137.05,3.95,3.47,112131,181289,510,7.12
2024-08-31,Organic,Amazon Ad,Entreprise,22658.43,59.18,1.44,4.11,91193,382880,4383,79.5
2024-10-22,Paid Social,LinkedIn,Diverse,41280.77,92.83,4.81,1.93,367340,444693,6205,29.01
2023-10-09,Organic,Facebook,Entreprise,34505.52,63.31,4.49,1.41,150043,545048,21388,87.4
2023-03-14,Organic,Google Search Ads,Optional,80696.28,96.62,2.03,4.76,539707,835167,10487,61.86
2023-12-08,Programmatic,Amazon Ad,Diverse,44222.6,79.33,3.87,2.05,470799,557428,20133,93.33
2024-06-06,Organic,Google Search Ads,Seamless,37731.24,58.18,1.19,4.89,137403,648476,3048,39.5
2023-02-04,Paid Search,LinkedIn,Fundamental,86077.66,148.61,3.53,4.21,150832,579233,2194,10.73
2024-04-16,Programmatic,LinkedIn,Optional,6422.55,27.49,1.17,2.35,10951,233666,2483,90.85
2023-09-18,Organic,LinkedIn,Fundamental,4249.64,31.56,2.41,1.31,124801,134644,1019,31.41
2023-03-19,Paid Social,Facebook,Fundamental,86507.0,141.35,3.72,3.8,366256,611985,2672,11.74
2023-08-22,Organic,Facebook,Seamless,18107.46,76.14,2.59,2.94,4792,237824,2377,38.59
2024-05-31,Paid Search,Bing,Mandatory,15256.15,26.57,2.92,0.91,110029,574167,9483,56.56
2023-09-14,Paid Social,Amazon Ad,Diverse,12798.28,13.64,3.1,0.44,151345,938291,4483,15.41
2024-08-13,Programmatic,Bing,Seamless,66378.0,134.67,3.64,3.7,430950,492878,6274,34.97
2023-01-21,Paid Search,Stack,Entreprise,15612.3,25.05,2.53,0.99,243430,623331,5609,35.57
2024-01-21,Programmatic,Google Search Ads,Seamless,139874.04,168.08,4.06,4.14,266398,832172,9935,29.41
2024-02-02,Programmatic,Amazon Ad,Entreprise,32742.64,36.75,0.89,4.13,688951,890874,420,5.3
2023-03-26,Organic,LinkedIn,Mandatory,31566.96,52.94,1.73,3.06,460901,596319,2219,21.51
2023-02-05,Paid Social,Facebook,Mandatory,56206.18,74.9,3.55,2.11,209751,750379,17863,67.06
2023-02-01,Paid Social,Stack,Entreprise,17129.2,17.93,2.11,0.85,97110,955100,16643,82.59
2023-05-16,Organic,Stack,Seamless,39237.0,41.7,2.78,1.5,892968,940954,23392,89.43
2024-02-12,Paid Search,Stack,Mandatory,70074.44,90.13,4.67,1.93,683948,777478,3214,8.85
2024-04-20,Organic,Google Search Ads,Fundamental,20378.92,41.45,1.06,3.91,126073,491709,503,9.65
2024-01-25,Programmatic,Amazon Ad,Diverse,12258.4,103.07,2.59,3.98,73285,118936,2614,84.87
2024-01-08,Paid Social,Google,Entreprise,73261.98,77.42,4.75,1.63,670102,946242,38705,86.11
2023-06-25,Organic,Google Search Ads,Seamless,34678.87,55.94,1.69,3.31,270780,619976,4069,38.84
2023-02-02,Paid Search,Amazon Ad,Fundamental,125936.85,141.48,3.6,3.93,285647,890163,17128,53.45
2023-09-24,Paid Social,Facebook,Entreprise,73672.9,138.62,4.83,2.87,113713,531471,115,0.45
2024-05-29,Paid Social,Facebook,Mandatory,143813.34,164.01,3.85,4.26,506993,876873,13632,40.38
2023-05-27,Paid Search,Amazon Ad,Fundamental,34275.08,36.07,1.08,3.34,901291,950226,8621,84.01
2024-09-24,Programmatic,Amazon Ad,Seamless,46608.2,73.99,3.49,2.12,262640,629958,7171,32.62
2024-10-07,Paid Social,Stack,Diverse,40966.88,77.8,3.67,2.12,143802,526544,15897,82.27
2023-03-22,Organic,Stack,Optional,58579.5,80.15,4.58,1.75,622379,730879,19170,57.27
2024-02-17,Organic,Bing,Seamless,21282.9,82.95,2.72,3.05,135948,256569,1125,16.12
2024-05-02,Organic,Google,Seamless,22062.51,42.43,1.15,3.69,424145,519989,3966,66.33
2024-10-09,Organic,Facebook,Mandatory,46969.68,57.22,4.27,1.34,789281,820909,34314,97.89
2023-12-30,Paid Search,Bing,Entreprise,72616.8,101.88,2.66,3.83,342564,712792,1948,10.27
2023-03-16,Programmatic,Google Search Ads,Optional,14558.31,24.51,0.82,2.99,197572,593891,4411,90.59
2024-05-24,Paid Social,Google,Fundamental,4771.5,7.8,1.04,0.75,270323,611778,472,7.42
2023-01-14,Organic,LinkedIn,Fundamental,6630.0,35.88,1.84,1.95,30233,184786,102,3.0
2023-01-15,Organic,LinkedIn,Diverse,85154.56,103.09,3.63,2.84,529702,826022,11034,36.8
2024-05-08,Organic,Google,Diverse,73361.86,132.7,4.64,2.86,75711,552825,869,3.39
2024-11-19,Programmatic,LinkedIn,Entreprise,43409.87,53.07,3.99,1.33,129,818034,26006,79.68
2024-12-04,Paid Search,Facebook,Seamless,7878.97,8.94,2.18,0.41,757246,881524,6913,35.97
